id_enviroment,device_type_label,count,min,mean,max,std
1,relative_humidity,33233,50.6,63.88274606565762,80.9,4.707271923424714
1,temperature,26897,22.6,25.117258430308215,26.5,0.761516982143678
2,relative_humidity,8360,65.5,76.62275119617225,86.7,5.415687632728612
2,temperature,7630,21.5,21.948283093053735,22.4,0.17301673163146364
3,relative_humidity,9851,49.7,58.41343010861841,64.4,1.9115824681799074
3,temperature,6652,15.0,17.15838845460012,17.9,0.5487704335681526
4,relative_humidity,9829,52.3,73.77423949537084,86.5,7.075839370141641
4,temperature,6629,23.0,25.358349675667522,27.7,1.264445221344486
