person,split,strategy,seed,accuracy,bal_acc,majority
-0.7,temporal,random,42,0.57775,0.5704251725755348,0.5236666666666666
-0.7,temporal,random,43,0.5315833333333333,0.5184304590863352,0.5236666666666666
-0.7,temporal,random,44,0.6599166666666667,0.6563738469165807,0.5236666666666666
-0.7,temporal,random,45,0.6161666666666666,0.6141504143282794,0.5236666666666666
-0.7,temporal,random,46,0.61775,0.6265021432462686,0.5236666666666666
-0.7,temporal,entropy,42,0.6506666666666666,0.6426793317828967,0.5236666666666666
-0.7,temporal,entropy,43,0.5829166666666666,0.5707171600906742,0.5236666666666666
-0.7,temporal,entropy,44,0.6030833333333333,0.5955070337587457,0.5236666666666666
-0.7,temporal,entropy,45,0.6330833333333333,0.6247837376985504,0.5236666666666666
-0.7,temporal,entropy,46,0.6294166666666666,0.6265011410007933,0.5236666666666666
-0.7,random,random,42,0.7750833333333333,0.6442093040347553,0.76025
-0.7,random,random,43,0.776,0.6856242406952051,0.76025
-0.7,random,random,44,0.7835,0.6429625839971553,0.76025
-0.7,random,random,45,0.781,0.661188985155602,0.76025
-0.7,random,random,46,0.7878333333333334,0.6688957323712987,0.76025
-0.7,random,entropy,42,0.79975,0.6963656925048323,0.76025
-0.7,random,entropy,43,0.7934166666666667,0.7043369283904356,0.76025
-0.7,random,entropy,44,0.80325,0.6676123222459546,0.76025
-0.7,random,entropy,45,0.805,0.6731657270689523,0.76025
-0.7,random,entropy,46,0.80075,0.6475253564510604,0.76025
0.0,temporal,random,42,0.8576666666666667,0.527570324792134,0.86775
0.0,temporal,random,43,0.85125,0.5447023741771092,0.86775
0.0,temporal,random,44,0.83875,0.572215423609829,0.86775
0.0,temporal,random,45,0.84075,0.5474646621924717,0.86775
0.0,temporal,random,46,0.8454166666666667,0.5469490931885529,0.86775
0.0,temporal,entropy,42,0.86525,0.5084400824402099,0.86775
0.0,temporal,entropy,43,0.8616666666666667,0.5296080931262852,0.86775
0.0,temporal,entropy,44,0.8665833333333334,0.5038674936829182,0.86775
0.0,temporal,entropy,45,0.8619166666666667,0.5423031629250699,0.86775
0.0,temporal,entropy,46,0.8631666666666666,0.5342109987933144,0.86775
0.0,random,random,42,0.6703333333333333,0.6357814808955309,0.6250833333333333
0.0,random,random,43,0.706,0.6908643936013392,0.6250833333333333
0.0,random,random,44,0.7075833333333333,0.6749623722097482,0.6250833333333333
0.0,random,random,45,0.6985833333333333,0.6968074850151861,0.6250833333333333
0.0,random,random,46,0.70225,0.6683834168484137,0.6250833333333333
0.0,random,entropy,42,0.7169166666666666,0.6913681272814807,0.6250833333333333
0.0,random,entropy,43,0.7429166666666667,0.7181698882321359,0.6250833333333333
0.0,random,entropy,44,0.7240833333333333,0.668056543338861,0.6250833333333333
0.0,random,entropy,45,0.72725,0.7039480606853368,0.6250833333333333
0.0,random,entropy,46,0.723,0.6744843889674457,0.6250833333333333
0.7,temporal,random,42,0.9865,0.4984001347254968,0.9896666666666667
0.7,temporal,random,43,0.9885,0.49941057595149885,0.9896666666666667
0.7,temporal,random,44,0.9889166666666667,0.4996210845402492,0.9896666666666667
0.7,temporal,random,45,0.9895,0.5039059529112659,0.9896666666666667
0.7,temporal,random,46,0.9835833333333334,0.504906887297776,0.9896666666666667
0.7,temporal,entropy,42,0.9896666666666667,0.5,0.9896666666666667
0.7,temporal,entropy,43,0.9896666666666667,0.5,0.9896666666666667
0.7,temporal,entropy,44,0.9896666666666667,0.5,0.9896666666666667
0.7,temporal,entropy,45,0.9896666666666667,0.5,0.9896666666666667
0.7,temporal,entropy,46,0.9896666666666667,0.5,0.9896666666666667
0.7,random,random,42,0.91275,0.5331581795397585,0.924
0.7,random,random,43,0.912,0.5402996126680337,0.924
0.7,random,random,44,0.8974166666666666,0.5751761031366294,0.924
0.7,random,random,45,0.9020833333333333,0.5429838801549328,0.924
0.7,random,random,46,0.9183333333333333,0.5316510974405712,0.924
0.7,random,entropy,42,0.9215,0.5112259816207184,0.924
0.7,random,entropy,43,0.9216666666666666,0.5294296346927926,0.924
0.7,random,entropy,44,0.9229166666666667,0.5245713716108452,0.924
0.7,random,entropy,45,0.9219166666666667,0.5154766651477177,0.924
0.7,random,entropy,46,0.9194166666666667,0.5121112440191388,0.924
