dataset,strategy,queries,runs,mean_queries_per_run,temperature_mean,temperature_std,rh_mean,rh_std,triggered_share,too_cool_share,comfortable_share,too_warm_share,zone_hhi,month_hhi,zone_seed_tvd,month_seed_tvd
Bath,entropy,19800,10,1980.0,14.102286262626262,1.2561694878013503,72.41316161616162,5.6477199601844195,0.9995454545454545,0.46954545454545454,0.5304545454545454,0.0,0.15303203754718905,0.18314334761759007,0.08874298540965207,0.07866442199775533
Bath,random,19800,10,1980.0,14.430013939393938,1.5078509815838579,71.69513131313131,6.045875809732759,0.9994949494949495,0.44025252525252523,0.5597474747474748,0.0,0.14576251913070093,0.18190425976941127,0.03328843995510662,0.026621773288439957
LaSDPC,entropy,3800,10,380.0,23.15943875207988,3.0736360796897895,69.68173406947525,8.232415038441538,0.7673684210526316,0.2013157894736842,0.7126315789473684,0.08605263157894737,0.2781112188365651,1.0,0.21795321637426904,0.0
LaSDPC,random,3800,10,380.0,22.35298218373993,3.3847389061546567,68.37037866886924,8.761325718965233,0.723421052631579,0.266578947368421,0.6678947368421052,0.06552631578947368,0.2502704986149584,1.0,0.037309941520467835,0.0
