run_id,strategy,seed,split,iteration,n_labels_before,zone,month,temperature,relative_humidity,comfort_class,triggered
random_split-random-s42,random,42,random_split,5,70,3,1,15.861904761904762,56.56551724137931,too_cool,True
random_split-random-s42,random,42,random_split,6,80,2,1,22.1,83.932,comfortable,True
random_split-random-s42,random,42,random_split,6,80,2,1,21.8,70.564,comfortable,True
random_split-random-s42,random,42,random_split,6,80,3,1,17.123809523809523,58.06666666666667,too_cool,True
random_split-random-s42,random,42,random_split,6,80,4,1,27.295238095238098,65.79666666666667,too_warm,True
random_split-random-s42,random,42,random_split,6,80,1,1,24.839080459770116,63.37676767676768,comfortable,False
random_split-random-s42,random,42,random_split,6,80,3,1,17.486363636363635,58.87407407407407,too_cool,True
random_split-random-s42,random,42,random_split,6,80,1,1,24.615476190476187,63.381052631578946,comfortable,False
random_split-random-s42,random,42,random_split,6,80,2,1,21.988000000000003,74.78,comfortable,True
random_split-random-s42,random,42,random_split,6,80,3,1,17.486363636363635,60.81785714285714,too_cool,True
random_split-random-s42,random,42,random_split,6,80,2,1,21.956,76.12,comfortable,True
random_split-random-s42,random,42,random_split,7,90,4,1,24.80526315789474,75.28,comfortable,True
random_split-random-s42,random,42,random_split,7,90,1,1,24.754320987654324,63.11515151515151,comfortable,False
random_split-random-s42,random,42,random_split,7,90,3,1,17.45,58.983333333333334,too_cool,True
random_split-random-s42,random,42,random_split,7,90,3,1,17.547619047619047,58.60344827586207,too_cool,True
random_split-random-s42,random,42,random_split,7,90,2,1,22.076190476190476,78.52857142857142,comfortable,True
random_split-random-s42,random,42,random_split,7,90,2,1,21.951999999999998,78.508,comfortable,True
random_split-random-s42,random,42,random_split,7,90,4,1,26.210526315789473,67.2258064516129,comfortable,True
random_split-random-s42,random,42,random_split,7,90,1,1,24.785714285714285,63.553999999999995,comfortable,False
random_split-random-s42,random,42,random_split,7,90,2,1,21.816,69.376,comfortable,True
random_split-random-s42,random,42,random_split,7,90,4,1,23.38095238095238,79.25555555555556,comfortable,True
